taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
hCoV-19/USA/FL-Shands-VTM-2/2021|Shands-VTM-2|2021-01-31|NorthAmerica,B.1.234,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.09,Usher placements: B.1.234(1/1)
hCoV-19/USA/FL-Shands-VTM-4/2021|Shands-VTM-4|2021-01-31|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.15,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-5/2021|Shands-VTM-5|2021-01-31|NorthAmerica,B.1.243,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.243(1/1)
hCoV-19/USA/FL-Shands-VTM-12/2021|Shands-VTM-12|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.14,Usher placements: B.1.2(4/4)
hCoV-19/USA/FL-Shands-VTM-13/2021|Shands-VTM-13|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-16/2021|Shands-VTM-16|2021-01-30|NorthAmerica,B.1.1,0.5510204081632653,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.07,Usher placements: B.1.1(22/49) B.1.1.122(1/49) B.1.1.161(2/49) B.1.1.164(3/49) B.1.1.168(1/49) B.1.1.175(1/49) B.1.1.205(1/49) B.1.1.28(1/49) B.1.1.290(1/49) B.1.1.306(5/49) B.1.1.315(1/49) B.1.1.351(1/49) B.1.1.447(2/49) B.1.1.449(1/49) B.1.1.463(1/49) B.1.1.487(1/49) B.1.1.515(1/49) B.1.1.56(1/49) B.1.1.91(1/49) XC(1/49)
hCoV-19/USA/FL-Shands-VTM-17/2021|Shands-VTM-17|2021-01-30|NorthAmerica,B.1.311,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.311(1/1)
hCoV-19/USA/FL-Shands-VTM-18/2021|Shands-VTM-18|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-19/2021|Shands-VTM-19|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.08,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-20/2021|Shands-VTM-20|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-21/2021|Shands-VTM-21|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.25,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-22/2021|Shands-VTM-22|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.11,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-23/2021|Shands-VTM-23|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.28,Usher placements: B.1.2(11/11)
hCoV-19/USA/FL-Shands-VTM-24/2021|Shands-VTM-24|2021-01-30|NorthAmerica,B.1.311,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.311(1/1)
hCoV-19/USA/FL-Shands-VTM-26/2021|Shands-VTM-26|2021-01-30|NorthAmerica,B.1.311,0.3333333333333333,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.17,Usher placements: B.1(2/6) B.1.311(4/6)
hCoV-19/USA/FL-Shands-VTM-27/2021|Shands-VTM-27|2021-01-30|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-30/2021|Shands-VTM-30|2021-01-30|NorthAmerica,B.1.311,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.311(1/1)
hCoV-19/USA/FL-Shands-VTM-31/2021|Shands-VTM-31|2021-01-30|NorthAmerica,B.1.234,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.234(1/1)
hCoV-19/USA/FL-Shands-VTM-321/2020|Shands-VTM-321|2020-12-26|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(2/2)
hCoV-19/USA/FL-Shands-VTM-322/2020|Shands-VTM-322|2020-12-26|NorthAmerica,B.1.234,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.234(1/1)
hCoV-19/USA/FL-Shands-VTM-323/2020|Shands-VTM-323|2020-12-26|NorthAmerica,B.1.580,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.580(1/1)
hCoV-19/USA/FL-Shands-VTM-324/2020|Shands-VTM-324|2020-12-26|NorthAmerica,B.1.369,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.369(1/1)
hCoV-19/USA/FL-Shands-VTM-325/2020|Shands-VTM-325|2020-12-26|NorthAmerica,B.1.243,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.243(1/1)
hCoV-19/USA/FL-Shands-VTM-326/2020|Shands-VTM-326|2020-12-26|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-327/2020|Shands-VTM-327|2020-12-26|NorthAmerica,B.1.280,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.280(1/1)
hCoV-19/USA/FL-Shands-VTM-329/2020|Shands-VTM-329|2020-12-25|NorthAmerica,B.1.349,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.349(1/1)
hCoV-19/USA/FL-Shands-VTM-332/2020|Shands-VTM-332|2020-12-25|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-333/2020|Shands-VTM-333|2020-12-25|NorthAmerica,B.1.240,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.240(1/1)
hCoV-19/USA/FL-Shands-VTM-334/2020|Shands-VTM-334|2020-12-25|NorthAmerica,B.1.306,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.306(1/1)
hCoV-19/USA/FL-Shands-VTM-335/2020|Shands-VTM-335|2020-12-25|NorthAmerica,B.1.616,0.5,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.26,Usher placements: B.1.595(1/2) B.1.616(1/2)
hCoV-19/USA/FL-Shands-VTM-336/2020|Shands-VTM-336|2020-12-25|NorthAmerica,B.1.234,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.234(1/1)
hCoV-19/USA/FL-Shands-VTM-337/2020|Shands-VTM-337|2020-12-25|NorthAmerica,B.1.580,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.580(1/1)
hCoV-19/USA/FL-Shands-VTM-339/2020|Shands-VTM-339|2020-12-24|NorthAmerica,B.1.369,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.369(1/1)
hCoV-19/USA/FL-Shands-VTM-340/2020|Shands-VTM-340|2020-12-24|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-342/2020|Shands-VTM-342|2020-12-24|NorthAmerica,B.1.311,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.311(1/1)
hCoV-19/USA/FL-Shands-VTM-344/2020|Shands-VTM-344|2020-12-24|NorthAmerica,B.1.234,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.234(1/1)
hCoV-19/USA/FL-Shands-VTM-345/2020|Shands-VTM-345|2020-12-24|NorthAmerica,B.1.111,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.111(1/1)
hCoV-19/USA/FL-Shands-VTM-346/2020|Shands-VTM-346|2020-12-24|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-347/2020|Shands-VTM-347|2020-12-24|NorthAmerica,B.1.234,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.234(1/1)
hCoV-19/USA/FL-Shands-VTM-348/2020|Shands-VTM-348|2020-12-24|NorthAmerica,B.1.2,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/FL-Shands-VTM-349/2020|Shands-VTM-349|2020-11-30|NorthAmerica,B.1.580,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.08,Usher placements: B.1.580(2/2)
hCoV-19/USA/FL-Shands-VTM-351/2020|Shands-VTM-351|2020-11-30|NorthAmerica,B.1.243,0.0,,,,,,PUSHER-v1.12,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.21,Usher placements: B.1.243(2/2)
